Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
HYP_AR,Chrome 111.0.0.0,,,2023-04-13 15:07:48,2023-04-13 15:08:46,"58,668s",FAILED
,,,,,,,
Test Cases/HYE/HYPER,Chrome 111.0.0.0,,,2023-04-13 15:08:42,2023-04-13 15:08:46,"4,616s",FAILED
"openBrowser(""https://hiper.ao/"")",Chrome 111.0.0.0,,,2023-04-13 15:08:42,2023-04-13 15:08:46,"4,595s",FAILED
